id,label
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_0,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_0
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_1,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_1
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_2,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_2
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_3,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_3
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_4,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_4
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_5,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_5
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_6,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_6
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_7,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_7
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_8,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_8
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_9,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_9
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_10,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_10
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_11,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_11
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_12,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_12
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_13,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_13
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_14,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_14
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_15,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_15
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_16,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_16
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_17,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_17
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_18,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_18
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_19,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_19
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_20,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_20
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_21,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_21
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_22,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_22
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_23,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_23
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_24,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_24
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_25,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_25
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_26,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_26
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_27,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_27
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_28,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_28
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_29,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_29
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_30,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_30
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_31,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_31
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_32,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_32
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_33,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_33
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_34,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_34
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_35,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_35
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_36,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_36
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_37,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_37
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_38,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_38
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_39,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_39
C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-20)\image_40,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label\label_40
